"bill_id","sponsor_party","session","num_cosponsors","num_d_cosponsors","num_r_cosponsors","title_word_count","originating_committee","day.of.week.introduced","num_amendments","status","is_sponsor_in_leadership","num_originating_committee_cosponsors","num_originating_committee_cosponsors_r","num_originating_committee_cosponsors_d"
"138","HB-1309-2009-2010","Republican","2009-2010",44,4,40,206,"PAC000244",4,0,"committee:referred",0,5,4,1
"139","HB-2061-2009-2010","Democratic","2009-2010",21,21,0,29,"PAC000017",1,1,"committee:referred",0,2,0,2
"140","HB-218-2009-2010","Republican","2009-2010",38,14,24,50,"PAC000005",2,0,"committee:referred",0,3,2,1
"141","HB-2384-2009-2010","Republican","2009-2010",37,13,24,17,"PAC000019",1,0,"committee:referred",0,6,4,2
"142","HB-845-2009-2010","Republican","2009-2010",42,4,38,22,"PAC000016",3,0,"committee:referred",0,5,4,1
"143","HB-1099-2009-2010","Republican","2009-2010",23,2,21,38,"PAC000129",3,0,"committee:referred",0,1,1,0
"144","HB-1301-2009-2010","Democratic","2009-2010",59,27,32,22,"PAC000001",2,0,"committee:referred",0,3,3,0
"145","HB-431-2009-2010","Republican","2009-2010",0,0,0,15,"PAC000244",5,0,"committee:referred",0,0,0,0
"146","HB-2531-2009-2010","Democratic","2009-2010",0,0,0,14,"PAC000008",3,0,"committee:referred",0,0,0,0
"147","HB-960-2009-2010","Democratic","2009-2010",29,21,8,127,"PAC000040",2,0,"committee:referred",0,3,1,2
"148","HB-1866-2009-2010","Democratic","2009-2010",43,29,14,22,"PAC000229",4,0,"committee:referred",0,3,1,2
"149","HB-948-2009-2010","Democratic","2009-2010",28,15,13,22,"PAC000017",2,0,"committee:referred",0,1,0,1
"150","HB-1871-2009-2010","Democratic","2009-2010",4,4,0,22,"PAC000129",1,0,"committee:referred",0,0,0,0
"151","HB-765-2009-2010","Republican","2009-2010",16,9,7,21,"PAC000040",5,0,"committee:referred",0,0,0,0
"152","HB-191-2009-2010","Democratic","2009-2010",24,18,6,37,"PAC000016",1,0,"committee:referred",0,2,1,1
"153","HB-238-2009-2010","Democratic","2009-2010",34,31,3,24,"PAC000012",3,0,"committee:referred",0,1,0,1
"154","HB-2476-2009-2010","Democratic","2009-2010",34,30,4,39,"",4,0,"committee:referred",0,0,0,0
"155","HB-1619-2009-2010","Democratic","2009-2010",16,10,6,17,"PAC000004",5,0,"committee:referred",0,1,1,0
"156","HB-2165-2009-2010","Democratic","2009-2010",10,9,1,16,"PAC000012",1,0,"committee:referred",0,0,0,0
"157","HB-378-2009-2010","","2009-2010",16,4,12,29,"PAC000017",5,0,"committee:referred",0,1,1,0
"158","HB-625-2009-2010","Republican","2009-2010",38,4,34,35,"PAC000010",4,0,"committee:referred",0,1,1,0
"159","HB-1383-2009-2010","Republican","2009-2010",24,2,22,21,"PAC000012",3,0,"committee:referred",0,1,1,0
"160","HB-1282-2009-2010","Democratic","2009-2010",20,15,5,19,"PAC000001",1,0,"committee:referred",0,1,0,1
"161","HB-1348-2009-2010","Democratic","2009-2010",12,12,0,15,"PAC000004",4,0,"committee:referred",0,1,0,1
"162","HB-877-2009-2010","Republican","2009-2010",20,4,16,23,"PAC000016",3,0,"committee:referred",0,2,2,0
"163","HB-1933-2009-2010","Democratic","2009-2010",15,13,2,16,"PAC000141",4,0,"committee:referred",0,2,0,2
"164","HB-1997-2009-2010","Democratic","2009-2010",7,7,0,20,"PAC000004",2,0,"committee:referred",0,1,0,1
"165","HB-1583-2009-2010","Republican","2009-2010",41,2,39,22,"PAC000016",3,0,"committee:referred",0,7,7,0
"166","HB-2140-2009-2010","Democratic","2009-2010",15,14,1,66,"PAC000012",2,0,"committee:referred",0,0,0,0
"167","HB-639-2009-2010","Republican","2009-2010",28,11,17,48,"PAC000001",5,0,"committee:referred",0,2,2,0
"168","HB-2712-2009-2010","Republican","2009-2010",10,0,10,24,"PAC000012",2,0,"committee:referred",0,0,0,0
"169","HB-934-2009-2010","Democratic","2009-2010",21,10,11,28,"PAC000010",5,0,"committee:referred",0,1,1,0
"170","HB-1078-2009-2010","Democratic","2009-2010",11,10,1,23,"PAC000016",2,0,"committee:referred",0,1,0,1
"171","HB-1108-2009-2010","Republican","2009-2010",0,0,0,30,"PAC000008",3,0,"committee:referred",0,0,0,0
"172","HB-1979-2009-2010","Republican","2009-2010",49,14,35,29,"PAC000007",1,0,"committee:referred",0,3,2,1
"173","HB-435-2009-2010","Republican","2009-2010",1,0,1,23,"PAC000099",5,0,"committee:referred",0,0,0,0
"174","HB-1117-2009-2010","Republican","2009-2010",17,1,16,30,"PAC000016",3,0,"committee:referred",0,1,1,0
"175","HB-1404-2009-2010","Democratic","2009-2010",1,1,0,37,"PAC000001",3,0,"committee:referred",0,0,0,0
"176","HB-1380-2009-2010","Democratic","2009-2010",13,8,5,21,"PAC000229",2,0,"committee:referred",0,1,0,1
"177","HB-320-2009-2010","Democratic","2009-2010",14,7,7,18,"PAC000019",2,0,"committee:referred",0,2,1,1
"178","HB-1013-2009-2010","Republican","2009-2010",43,5,38,38,"PAC000246",2,0,"committee:referred",0,0,0,0
"179","HB-1663-2009-2010","Democratic","2009-2010",0,0,0,65,"PAC000008",5,2,"committee:passed",0,0,0,0
"180","HB-2019-2009-2010","Democratic","2009-2010",34,23,11,21,"PAC000007",2,0,"committee:referred",0,0,0,0
"181","HB-2401-2009-2010","Democratic","2009-2010",41,38,3,52,"PAC000190",4,0,"committee:referred",0,1,0,1
"182","HB-10-2009-2010","Democratic","2009-2010",27,25,2,40,"PAC000016",1,0,"committee:referred",0,3,0,3
"183","HB-1721-2009-2010","Democratic","2009-2010",14,13,1,16,"PAC000004",2,0,"committee:referred",0,1,0,1
"184","HB-573-2009-2010","Republican","2009-2010",12,5,7,17,"PAC000007",1,0,"committee:referred",0,0,0,0
"185","HB-626-2009-2010","Republican","2009-2010",49,1,48,25,"",4,0,"committee:referred",0,0,0,0
"186","HB-164-2009-2010","Democratic","2009-2010",23,18,5,31,"PAC000099",5,0,"bill:reading:1",0,2,1,1
"187","HB-8-2009-2010","Democratic","2009-2010",0,0,0,30,"PAC000001",2,0,"committee:referred",0,0,0,0
"188","HB-67-2009-2010","Democratic","2009-2010",25,11,14,87,"PAC000001",1,2,"committee:passed",0,3,3,0
"189","HB-1024-2009-2010","Republican","2009-2010",43,14,29,33,"PAC000004",4,0,"committee:referred",0,3,2,1
"190","HB-2106-2009-2010","Democratic","2009-2010",30,28,2,36,"PAC000129",1,1,"committee:referred",0,6,1,5
"191","HB-294-2009-2010","Republican","2009-2010",62,7,55,35,"",5,0,"committee:referred",0,0,0,0
"192","HB-1935-2009-2010","Democratic","2009-2010",15,13,2,32,"PAC000001",4,0,"committee:referred",0,1,0,1
"193","HB-826-2009-2010","Republican","2009-2010",43,16,27,21,"PAC000035",2,0,"committee:referred",0,1,1,0
"194","HB-1188-2009-2010","Democratic","2009-2010",45,27,18,21,"PAC000229",5,1,"committee:referred",0,6,4,2
"195","HB-987-2009-2010","Democratic","2009-2010",12,10,2,28,"PAC000229",4,0,"committee:referred",0,2,0,2
"196","HB-504-2009-2010","Republican","2009-2010",36,12,24,24,"PAC000016",3,0,"committee:referred",0,3,2,1
"197","HB-1110-2009-2010","Republican","2009-2010",46,25,21,47,"PAC000001",3,0,"committee:referred",0,2,2,0
"198","HB-2754-2009-2010","Democratic","2009-2010",5,5,0,23,"PAC000010",3,0,"committee:referred",0,0,0,0
"199","HB-2052-2009-2010","Democratic","2009-2010",12,7,5,33,"PAC000012",5,0,"committee:referred",0,1,1,0
"200","HB-736-2009-2010","Democratic","2009-2010",13,10,3,9,"",4,0,"committee:referred",0,0,0,0
"201","HB-2622-2009-2010","Republican","2009-2010",0,0,0,28,"PAC000016",3,0,"committee:referred",0,0,0,0
